date,origin,destination,vessel_class,freight_rate
2025-06-27,Australia,Dhamra,Capesize,17.51
2025-06-28,Australia,Dhamra,Capesize,17.21
2025-06-29,Australia,Dhamra,Capesize,17.75
2025-06-30,Australia,Dhamra,Capesize,16.03
2025-07-01,Australia,Dhamra,Capesize,16.4
2025-07-02,Australia,Dhamra,Capesize,16.71
2025-07-03,Australia,Dhamra,Capesize,17.8
2025-07-04,Australia,Dhamra,Capesize,16.85
2025-07-05,Australia,Dhamra,Capesize,16.83
2025-07-06,Australia,Dhamra,Capesize,16.66
2025-07-07,Australia,Dhamra,Capesize,16.17
2025-07-08,Australia,Dhamra,Capesize,15.84
2025-07-09,Australia,Dhamra,Capesize,16.52
2025-07-10,Australia,Dhamra,Capesize,17.33
2025-07-11,Australia,Dhamra,Capesize,16.13
2025-07-12,Australia,Dhamra,Capesize,16.59
2025-07-13,Australia,Dhamra,Capesize,15.72
2025-07-14,Australia,Dhamra,Capesize,16.61
2025-07-15,Australia,Dhamra,Capesize,15.04
2025-07-16,Australia,Dhamra,Capesize,15.91
2025-07-17,Australia,Dhamra,Capesize,16.76
2025-07-18,Australia,Dhamra,Capesize,17.53
2025-07-19,Australia,Dhamra,Capesize,16.31
2025-07-20,Australia,Dhamra,Capesize,15.65
2025-07-21,Australia,Dhamra,Capesize,16.87
2025-07-22,Australia,Dhamra,Capesize,14.93
2025-07-23,Australia,Dhamra,Capesize,14.77
2025-07-24,Australia,Dhamra,Capesize,16.65
2025-07-25,Australia,Dhamra,Capesize,16.14
2025-07-26,Australia,Dhamra,Capesize,15.59
2025-07-27,Australia,Dhamra,Capesize,16.26
2025-07-28,Australia,Dhamra,Capesize,15.74
2025-07-29,Australia,Dhamra,Capesize,15.32
2025-07-30,Australia,Dhamra,Capesize,15.18
2025-07-31,Australia,Dhamra,Capesize,16.76
2025-08-01,Australia,Dhamra,Capesize,16.69
2025-08-02,Australia,Dhamra,Capesize,16.0
2025-08-03,Australia,Dhamra,Capesize,16.8
2025-08-04,Australia,Dhamra,Capesize,14.82
2025-08-05,Australia,Dhamra,Capesize,14.6
2025-08-06,Australia,Dhamra,Capesize,15.4
2025-08-07,Australia,Dhamra,Capesize,16.08
2025-08-08,Australia,Dhamra,Capesize,16.31
2025-08-09,Australia,Dhamra,Capesize,15.79
2025-08-10,Australia,Dhamra,Capesize,15.78
2025-08-11,Australia,Dhamra,Capesize,14.58
2025-08-12,Australia,Dhamra,Capesize,16.26
2025-08-13,Australia,Dhamra,Capesize,15.64
2025-08-14,Australia,Dhamra,Capesize,16.66
2025-08-15,Australia,Dhamra,Capesize,16.25
2025-08-16,Australia,Dhamra,Capesize,16.09
2025-08-17,Australia,Dhamra,Capesize,15.79
2025-08-18,Australia,Dhamra,Capesize,15.49
2025-08-19,Australia,Dhamra,Capesize,15.67
2025-08-20,Australia,Dhamra,Capesize,16.38
2025-08-21,Australia,Dhamra,Capesize,16.0
2025-08-22,Australia,Dhamra,Capesize,16.37
2025-08-23,Australia,Dhamra,Capesize,15.66
2025-08-24,Australia,Dhamra,Capesize,16.22
2025-08-25,Australia,Dhamra,Capesize,14.72
2025-08-26,Australia,Dhamra,Capesize,16.27
2025-08-27,Australia,Dhamra,Capesize,15.47
2025-08-28,Australia,Dhamra,Capesize,14.93
2025-08-29,Australia,Dhamra,Capesize,15.93
2025-08-30,Australia,Dhamra,Capesize,15.22
2025-08-31,Australia,Dhamra,Capesize,15.78
2025-09-01,Australia,Dhamra,Capesize,14.65
2025-09-02,Australia,Dhamra,Capesize,14.84
2025-09-03,Australia,Dhamra,Capesize,14.28
2025-09-04,Australia,Dhamra,Capesize,15.45
2025-09-05,Australia,Dhamra,Capesize,14.33
2025-09-06,Australia,Dhamra,Capesize,14.61
2025-09-07,Australia,Dhamra,Capesize,15.66
2025-09-08,Australia,Dhamra,Capesize,15.46
2025-09-09,Australia,Dhamra,Capesize,15.31
2025-09-10,Australia,Dhamra,Capesize,14.78
2025-09-11,Australia,Dhamra,Capesize,15.64
2025-09-12,Australia,Dhamra,Capesize,15.74
2025-09-13,Australia,Dhamra,Capesize,14.82
2025-09-14,Australia,Dhamra,Capesize,16.07
2025-09-15,Australia,Dhamra,Capesize,15.47
2025-09-16,Australia,Dhamra,Capesize,14.88
2025-09-17,Australia,Dhamra,Capesize,15.34
2025-09-18,Australia,Dhamra,Capesize,15.76
2025-09-19,Australia,Dhamra,Capesize,14.48
2025-09-20,Australia,Dhamra,Capesize,15.34
2025-09-21,Australia,Dhamra,Capesize,14.73
2025-09-22,Australia,Dhamra,Capesize,14.32
2025-09-23,Australia,Dhamra,Capesize,14.83
2025-09-24,Australia,Dhamra,Capesize,16.39
2025-09-25,Australia,Dhamra,Capesize,16.01
2025-09-26,Australia,Dhamra,Capesize,15.36
2025-09-27,Australia,Dhamra,Capesize,15.83
2025-09-28,Australia,Dhamra,Capesize,15.98
2025-09-29,Australia,Dhamra,Capesize,15.48
2025-09-30,Australia,Dhamra,Capesize,15.04
2025-10-01,Australia,Dhamra,Capesize,14.93
2025-10-02,Australia,Dhamra,Capesize,16.05
2025-10-03,Australia,Dhamra,Capesize,15.95
2025-10-04,Australia,Dhamra,Capesize,16.04
2025-10-05,Australia,Dhamra,Capesize,15.54
2025-10-06,Australia,Dhamra,Capesize,15.58
2025-10-07,Australia,Dhamra,Capesize,14.71
2025-10-08,Australia,Dhamra,Capesize,16.14
2025-10-09,Australia,Dhamra,Capesize,15.79
2025-10-10,Australia,Dhamra,Capesize,17.0
2025-10-11,Australia,Dhamra,Capesize,15.13
2025-10-12,Australia,Dhamra,Capesize,16.24
2025-10-13,Australia,Dhamra,Capesize,15.11
2025-10-14,Australia,Dhamra,Capesize,14.69
2025-10-15,Australia,Dhamra,Capesize,15.11
2025-10-16,Australia,Dhamra,Capesize,15.53
2025-10-17,Australia,Dhamra,Capesize,16.06
2025-10-18,Australia,Dhamra,Capesize,15.92
2025-10-19,Australia,Dhamra,Capesize,14.92
2025-10-20,Australia,Dhamra,Capesize,15.04
2025-10-21,Australia,Dhamra,Capesize,16.43
2025-10-22,Australia,Dhamra,Capesize,16.51
2025-10-23,Australia,Dhamra,Capesize,16.06
2025-10-24,Australia,Dhamra,Capesize,15.91
2025-10-25,Australia,Dhamra,Capesize,15.76
2025-10-26,Australia,Dhamra,Capesize,15.72
2025-10-27,Australia,Dhamra,Capesize,14.53
2025-10-28,Australia,Dhamra,Capesize,15.08
2025-10-29,Australia,Dhamra,Capesize,14.56
2025-10-30,Australia,Dhamra,Capesize,16.13
2025-10-31,Australia,Dhamra,Capesize,16.37
2025-11-01,Australia,Dhamra,Capesize,15.49
2025-11-02,Australia,Dhamra,Capesize,16.4
2025-11-03,Australia,Dhamra,Capesize,14.52
2025-11-04,Australia,Dhamra,Capesize,14.47
2025-11-05,Australia,Dhamra,Capesize,15.81
2025-11-06,Australia,Dhamra,Capesize,16.64
2025-11-07,Australia,Dhamra,Capesize,17.11
2025-11-08,Australia,Dhamra,Capesize,15.63
2025-11-09,Australia,Dhamra,Capesize,16.22
2025-11-10,Australia,Dhamra,Capesize,15.36
2025-11-11,Australia,Dhamra,Capesize,15.37
2025-11-12,Australia,Dhamra,Capesize,16.34
2025-11-13,Australia,Dhamra,Capesize,16.53
2025-11-14,Australia,Dhamra,Capesize,15.29
2025-11-15,Australia,Dhamra,Capesize,16.93
2025-11-16,Australia,Dhamra,Capesize,16.54
2025-11-17,Australia,Dhamra,Capesize,15.15
2025-11-18,Australia,Dhamra,Capesize,15.86
2025-11-19,Australia,Dhamra,Capesize,16.25
2025-11-20,Australia,Dhamra,Capesize,16.45
2025-11-21,Australia,Dhamra,Capesize,16.06
2025-11-22,Australia,Dhamra,Capesize,15.79
2025-11-23,Australia,Dhamra,Capesize,15.86
2025-11-24,Australia,Dhamra,Capesize,16.38
2025-11-25,Australia,Dhamra,Capesize,16.11
2025-11-26,Australia,Dhamra,Capesize,15.89
2025-11-27,Australia,Dhamra,Capesize,16.92
2025-11-28,Australia,Dhamra,Capesize,14.85
2025-11-29,Australia,Dhamra,Capesize,17.05
2025-11-30,Australia,Dhamra,Capesize,15.0
2025-12-01,Australia,Dhamra,Capesize,15.63
2025-12-02,Australia,Dhamra,Capesize,15.28
2025-12-03,Australia,Dhamra,Capesize,15.51
2025-12-04,Australia,Dhamra,Capesize,17.32
2025-12-05,Australia,Dhamra,Capesize,16.45
2025-12-06,Australia,Dhamra,Capesize,16.75
2025-12-07,Australia,Dhamra,Capesize,16.19
2025-12-08,Australia,Dhamra,Capesize,16.32
2025-12-09,Australia,Dhamra,Capesize,16.18
2025-12-10,Australia,Dhamra,Capesize,15.7
2025-12-11,Australia,Dhamra,Capesize,17.41
2025-12-12,Australia,Dhamra,Capesize,16.62
2025-12-13,Australia,Dhamra,Capesize,15.8
2025-12-14,Australia,Dhamra,Capesize,16.15
2025-12-15,Australia,Dhamra,Capesize,17.12
2025-12-16,Australia,Dhamra,Capesize,16.84
2025-12-17,Australia,Dhamra,Capesize,16.46
2025-12-18,Australia,Dhamra,Capesize,16.8
2025-12-19,Australia,Dhamra,Capesize,16.92
2025-12-20,Australia,Dhamra,Capesize,18.17
2025-12-21,Australia,Dhamra,Capesize,16.84
2025-12-22,Australia,Dhamra,Capesize,16.68
2025-12-23,Australia,Dhamra,Capesize,17.14
2025-12-24,Australia,Dhamra,Capesize,17.01
2025-12-25,Australia,Dhamra,Capesize,17.05
2025-12-26,Australia,Dhamra,Capesize,17.19
2025-12-27,Australia,Dhamra,Capesize,17.08
2025-12-28,Australia,Dhamra,Capesize,16.78
2025-12-29,Australia,Dhamra,Capesize,17.06
2025-12-30,Australia,Dhamra,Capesize,16.76
2025-12-31,Australia,Dhamra,Capesize,17.51
2025-01-01,Australia,Dhamra,Handysize,20.3
2025-01-02,Australia,Dhamra,Handysize,20.26
2025-01-03,Australia,Dhamra,Handysize,20.84
2025-01-04,Australia,Dhamra,Handysize,21.17
2025-01-05,Australia,Dhamra,Handysize,19.8
2025-01-06,Australia,Dhamra,Handysize,19.61
2025-01-07,Australia,Dhamra,Handysize,20.81
2025-01-08,Australia,Dhamra,Handysize,20.66
2025-01-09,Australia,Dhamra,Handysize,20.26
2025-01-10,Australia,Dhamra,Handysize,20.97
2025-01-11,Australia,Dhamra,Handysize,20.18
2025-01-12,Australia,Dhamra,Handysize,19.86
2025-01-13,Australia,Dhamra,Handysize,20.1
2025-01-14,Australia,Dhamra,Handysize,18.91
2025-01-15,Australia,Dhamra,Handysize,19.37
2025-01-16,Australia,Dhamra,Handysize,20.4
2025-01-17,Australia,Dhamra,Handysize,20.24
2025-01-18,Australia,Dhamra,Handysize,20.85
2025-01-19,Australia,Dhamra,Handysize,19.79
2025-01-20,Australia,Dhamra,Handysize,19.3
2025-01-21,Australia,Dhamra,Handysize,21.13
2025-01-22,Australia,Dhamra,Handysize,20.46
2025-01-23,Australia,Dhamra,Handysize,20.97
2025-01-24,Australia,Dhamra,Handysize,20.18
2025-01-25,Australia,Dhamra,Handysize,20.52
2025-01-26,Australia,Dhamra,Handysize,20.59
2025-01-27,Australia,Dhamra,Handysize,19.65
2025-01-28,Australia,Dhamra,Handysize,20.67
2025-01-29,Australia,Dhamra,Handysize,20.42
2025-01-30,Australia,Dhamra,Handysize,20.94
2025-01-31,Australia,Dhamra,Handysize,20.86
2025-02-01,Australia,Dhamra,Handysize,22.14
2025-02-02,Australia,Dhamra,Handysize,20.7
2025-02-03,Australia,Dhamra,Handysize,19.88
2025-02-04,Australia,Dhamra,Handysize,21.11
2025-02-05,Australia,Dhamra,Handysize,20.22
2025-02-06,Australia,Dhamra,Handysize,21.42
2025-02-07,Australia,Dhamra,Handysize,20.22
2025-02-08,Australia,Dhamra,Handysize,20.4
2025-02-09,Australia,Dhamra,Handysize,20.99
2025-02-10,Australia,Dhamra,Handysize,21.13
2025-02-11,Australia,Dhamra,Handysize,20.89
2025-02-12,Australia,Dhamra,Handysize,21.05
2025-02-13,Australia,Dhamra,Handysize,21.27
2025-02-14,Australia,Dhamra,Handysize,20.67
2025-02-15,Australia,Dhamra,Handysize,20.93
2025-02-16,Australia,Dhamra,Handysize,20.76
2025-02-17,Australia,Dhamra,Handysize,21.47
2025-02-18,Australia,Dhamra,Handysize,21.14
2025-02-19,Australia,Dhamra,Handysize,20.21
2025-02-20,Australia,Dhamra,Handysize,21.79
2025-02-21,Australia,Dhamra,Handysize,21.47
2025-02-22,Australia,Dhamra,Handysize,21.09
2025-02-23,Australia,Dhamra,Handysize,21.54
2025-02-24,Australia,Dhamra,Handysize,21.59
2025-02-25,Australia,Dhamra,Handysize,21.63
2025-02-26,Australia,Dhamra,Handysize,20.9
2025-02-27,Australia,Dhamra,Handysize,21.54
2025-02-28,Australia,Dhamra,Handysize,22.02
2025-03-01,Australia,Dhamra,Handysize,22.21
2025-03-02,Australia,Dhamra,Handysize,21.01
2025-03-03,Australia,Dhamra,Handysize,20.98
2025-03-04,Australia,Dhamra,Handysize,20.52
2025-03-05,Australia,Dhamra,Handysize,20.8
2025-03-06,Australia,Dhamra,Handysize,22.33
2025-03-07,Australia,Dhamra,Handysize,22.75
2025-03-08,Australia,Dhamra,Handysize,21.69
2025-03-09,Australia,Dhamra,Handysize,22.0
2025-03-10,Australia,Dhamra,Handysize,21.41
2025-03-11,Australia,Dhamra,Handysize,20.9
2025-03-12,Australia,Dhamra,Handysize,21.83
2025-03-13,Australia,Dhamra,Handysize,22.86
2025-03-14,Australia,Dhamra,Handysize,22.0
2025-03-15,Australia,Dhamra,Handysize,22.76
2025-03-16,Australia,Dhamra,Handysize,19.91
2025-03-17,Australia,Dhamra,Handysize,21.77
2025-03-18,Australia,Dhamra,Handysize,21.42
2025-03-19,Australia,Dhamra,Handysize,21.51
2025-03-20,Australia,Dhamra,Handysize,22.06
2025-03-21,Australia,Dhamra,Handysize,20.9
2025-03-22,Australia,Dhamra,Handysize,21.75
2025-03-23,Australia,Dhamra,Handysize,21.76
2025-03-24,Australia,Dhamra,Handysize,22.22
2025-03-25,Australia,Dhamra,Handysize,21.11
2025-03-26,Australia,Dhamra,Handysize,21.26
2025-03-27,Australia,Dhamra,Handysize,21.76
2025-03-28,Australia,Dhamra,Handysize,22.69
2025-03-29,Australia,Dhamra,Handysize,22.13
2025-03-30,Australia,Dhamra,Handysize,21.27
2025-03-31,Australia,Dhamra,Handysize,21.68
2025-04-01,Australia,Dhamra,Handysize,21.52
2025-04-02,Australia,Dhamra,Handysize,22.35
2025-04-03,Australia,Dhamra,Handysize,21.67
2025-04-04,Australia,Dhamra,Handysize,21.97
2025-04-05,Australia,Dhamra,Handysize,21.72
2025-04-06,Australia,Dhamra,Handysize,20.73
2025-04-07,Australia,Dhamra,Handysize,21.57
2025-04-08,Australia,Dhamra,Handysize,21.63
2025-04-09,Australia,Dhamra,Handysize,21.79
2025-04-10,Australia,Dhamra,Handysize,21.96
2025-04-11,Australia,Dhamra,Handysize,21.32
2025-04-12,Australia,Dhamra,Handysize,21.7
2025-04-13,Australia,Dhamra,Handysize,21.4
2025-04-14,Australia,Dhamra,Handysize,20.91
2025-04-15,Australia,Dhamra,Handysize,21.37
2025-04-16,Australia,Dhamra,Handysize,22.02
2025-04-17,Australia,Dhamra,Handysize,23.21
2025-04-18,Australia,Dhamra,Handysize,22.26
2025-04-19,Australia,Dhamra,Handysize,22.09
2025-04-20,Australia,Dhamra,Handysize,21.54
2025-04-21,Australia,Dhamra,Handysize,20.21
2025-04-22,Australia,Dhamra,Handysize,21.42
2025-04-23,Australia,Dhamra,Handysize,21.78
2025-04-24,Australia,Dhamra,Handysize,23.53
2025-04-25,Australia,Dhamra,Handysize,22.0
2025-04-26,Australia,Dhamra,Handysize,22.08
2025-04-27,Australia,Dhamra,Handysize,21.52
2025-04-28,Australia,Dhamra,Handysize,20.61
2025-04-29,Australia,Dhamra,Handysize,22.07
2025-04-30,Australia,Dhamra,Handysize,22.14
2025-05-01,Australia,Dhamra,Handysize,22.47
2025-05-02,Australia,Dhamra,Handysize,21.51
2025-05-03,Australia,Dhamra,Handysize,22.68
2025-05-04,Australia,Dhamra,Handysize,20.64
2025-05-05,Australia,Dhamra,Handysize,21.6
2025-05-06,Australia,Dhamra,Handysize,22.63
2025-05-07,Australia,Dhamra,Handysize,21.02
2025-05-08,Australia,Dhamra,Handysize,21.58
2025-05-09,Australia,Dhamra,Handysize,22.04
2025-05-10,Australia,Dhamra,Handysize,21.45
2025-05-11,Australia,Dhamra,Handysize,20.46
2025-05-12,Australia,Dhamra,Handysize,21.21
2025-05-13,Australia,Dhamra,Handysize,20.59
2025-05-14,Australia,Dhamra,Handysize,21.81
2025-05-15,Australia,Dhamra,Handysize,21.27
2025-05-16,Australia,Dhamra,Handysize,22.82
2025-05-17,Australia,Dhamra,Handysize,21.19
2025-05-18,Australia,Dhamra,Handysize,21.1
2025-05-19,Australia,Dhamra,Handysize,21.55
2025-05-20,Australia,Dhamra,Handysize,20.39
2025-05-21,Australia,Dhamra,Handysize,21.56
2025-05-22,Australia,Dhamra,Handysize,22.5
2025-05-23,Australia,Dhamra,Handysize,20.81
2025-05-24,Australia,Dhamra,Handysize,21.66
2025-05-25,Australia,Dhamra,Handysize,21.34
2025-05-26,Australia,Dhamra,Handysize,21.42
2025-05-27,Australia,Dhamra,Handysize,20.26
2025-05-28,Australia,Dhamra,Handysize,20.51
2025-05-29,Australia,Dhamra,Handysize,21.91
2025-05-30,Australia,Dhamra,Handysize,21.83
2025-05-31,Australia,Dhamra,Handysize,21.57
2025-06-01,Australia,Dhamra,Handysize,21.26
2025-06-02,Australia,Dhamra,Handysize,20.41
2025-06-03,Australia,Dhamra,Handysize,21.02
2025-06-04,Australia,Dhamra,Handysize,21.34
2025-06-05,Australia,Dhamra,Handysize,21.03
2025-06-06,Australia,Dhamra,Handysize,22.64
2025-06-07,Australia,Dhamra,Handysize,21.57
2025-06-08,Australia,Dhamra,Handysize,20.2
2025-06-09,Australia,Dhamra,Handysize,21.07
2025-06-10,Australia,Dhamra,Handysize,20.15
2025-06-11,Australia,Dhamra,Handysize,21.5
2025-06-12,Australia,Dhamra,Handysize,22.01
2025-06-13,Australia,Dhamra,Handysize,20.88
2025-06-14,Australia,Dhamra,Handysize,21.71
2025-06-15,Australia,Dhamra,Handysize,21.01
2025-06-16,Australia,Dhamra,Handysize,21.02
2025-06-17,Australia,Dhamra,Handysize,21.72
2025-06-18,Australia,Dhamra,Handysize,20.73
2025-06-19,Australia,Dhamra,Handysize,20.71
2025-06-20,Australia,Dhamra,Handysize,20.69
